날짜,리뷰 제목,리뷰 내용
"04  1, 2017",Can't wait to drive it more,"first Toyota and can't wait to drive it
heard lots of good comments, reviews about the brand
comfortable and good price"
"04  1, 2017",Love it!,"Great smooth ride, trust it to get me through the snow, love the look of it. Love the back up camera and that I can connect my phone via Bluetooth through the radio. And a moonroof- perfect!"
"03 31, 2017",2017 Rav 4,Very nice car and with the new security features it worth every dollar. I love it and my family too. I recommend this car with no doubt
"03 30, 2017",Toyota Rav4,Very smooth to handle and comfortable in all aspects.. powerful and good handling. I liked interior design very much.
"03 29, 2017","Excellent, comfortable and with the technology","Before buying a car I always see the Reviews, but when driving I reaffirm a comfortable car, hard body, good power and above all highly efficient in consumption."
"03 28, 2017",Owner,This is the second Rav4 my family has purchased and we love it.  I do wish there were more cup  holders
"03 27, 2017",The Car Of The Future,I love my new Rav4. I wish it still came in a V6. But overall I love everything about it and the new body shape. I am very impress with all the bells and whistles this car has.
"03 26, 2017",Rav4 is a beautiful vehicle,We last owned a Rav three years ago.  The changes made to the design and safety wowed us.  Such a classy looking vehicle.
"03 26, 2017","A Real Gem in Style, Safety and Comfort","I just purchased a Toyota RAV4 SE and couldn't be happier. The safety features  and solid feel are excellent. The comfort and performance are also fantastic! You really feel you are driving a super high end car in all aspects. To be honest there are 3 things that I was disappointed with--my car had the Entunes Connected GPS Navigation System.  Very much a let down in what you would expect- no way to get a map showing as you drove or even when getting directions. You got arrows and voice but no map. Also, no way to get the Entune apps promoted and showing. I called Entunes, Toyota, the GPS company and they all said those things not able to work in this model navigation system plus, you cannot install the Premium Entunes system to replace the connected one as hardware not included. The map was important to me, so I had to go to outside vendor and have a brand name navigation system installed. The second feature, no integration of garage door opener into the car in any way. I have to carry my opener with me. The outside vendor said they possibly could add something for several hundred dollars but after the navigation change out, definitely could not justify spending hundreds more just to not carry my garage door opener. The 3rd things, the splash up is atrocious. My car is white and after driving a few miles in rainy weather, the top surface of the back bumper was black, along with the entire rear liftgate and window, coated in mud film.  I had mud flaps installed by the dealer and happy to say--excellent value for the money, the rear of the Rav stays clean now. They look sharp and are a solid addition.  I also had the side mouldings put on, good additional protection and really improves the appearance of the vehicle. After those modifications, I feel I am driving a top car in comfort, safety, appearance and reliability.  As far as safety features, Toyota now equips their Ravs with just about everything you could think of and it works so well.  This car is luxury in safety features, comfort, reliability and appearance. Still have a constant smile on my face as I drive it. One other things, Toyota now has as standard the type of shifting system that cars like the Prius have had before, the anticipated shifting where you don't even feel the car shift, leads to much better fuel consumption, better ride and performance and more steady acceleration when you need to increase your speed, like when entering a freeway.  By the way, if you happen to be in the Oregon area, a dealer in Hillsboro, Royal Moore Toyota, no personal connection, has a unique 20,000 mile Power Train Warranty, along with making a car buying experience  so enjoyable and one in which you end up with friends, in every department. The personal care and recognition from your first day on is exceptional!"
"03 26, 2017",Great vehicle,"I have owned this vehicle for about 2 months and miss some of the features on my previous vehicle, but am overall well pleased with it.  Love the blind sport mirrors, lane beepers, and the automatic slowing feature while in cruise control"
"03 25, 2017",4 rav I have purchased,love my car and have purchase  4 ravs .  Toyota Motorcar has been great help to purchase my dream car.
"03 25, 2017",Toyota Rav4,"Freeway Toyota is The Best!!!
I Absolutely Love ? My Rav4
Thank you Fernando, Jose, & Edgar. I Will definitely be back."
"03 25, 2017",Great Car!,"The Toyota RAV4 is a really fun car to drive, and it's loaded with safety features!  It's all wheel drive SUV, which is nice because you sit higher than a car.  It's a good car to drive in the winter because of its traction with the all wheel drive.  It handles really well, too.  I highly recommend it!"
"03 24, 2017",Toyota RAV,Excellent performance and great handling feeling.. Everything perfect for me. My first car and i loved it.
"03 24, 2017",RAV4 great car!,Beautiful car with great options! Love the safety features! Great styling! Very smooth ride! Awesome color. Galactic blue!
"03 24, 2017",Dean Bunch,"We are very happy with our Toyta RAV 4,it is our second one, they are very comfortable and reliable.Toyota has the options and technology we are looking for.I would recomend Toyota to all my friends and family."
"03 24, 2017",Awesome car for student driver...,We picked this car for a new driver in the household.  we really liked all the safety features it offers and makes us feel a bit better about letting them drive on their own.  The safety features was definitely the selling point.
"03 23, 2017",I just bought the car and l love everything about,"I first nice car I have not drove.it is beautiful, with a great technology update that every one will wish on a car."
"03 20, 2017",Seek to have this be a terrific vehicle.,Looking forward to a wonderful experience. It is a new SUV for us & we are anxious to have fun & pleasure with it.
"03 20, 2017",HAPPY WITH MY TOYOTA RAV4 2017,"LOVELY AN ECONOMY CAR, THE PEOPLE FROM THIS DEALER SI SO NICE AND HELPFUL!
Y RECOMMEND 100% PEOPLE TO COME TO THIS DEALER"
"03 19, 2017",Its my 3rdd Rav so you can see I love it.,"My only complaint was I can't reach the rear hatch back to close it, should of got an automatic closer. Wasn't aware I would be too short."
"03 19, 2017",2017 Rav4,"The only thing Toyota got wrong on this model is the alignment of the sunvisor & rearview mirror. You can't lower the visor & then push it forward & up to block sun, but maintain visibilty. This is due to the visor hitting the rearview mirror. A pain for taller people like me!"
"03 19, 2017",Great 2017 RAV 4,"This is my 2nd RAV4, I also owned a 2010, they are a very reliable vehicle. They are very comfortable and fun to drive."
"03 16, 2017",Great car,"I've only had the vehicle a week, but I love it! Handles well, gets great gas mileage. I only wish the passenger seat had electric adjustments, instead of manual."
"03 14, 2017","Excellent, reliable vehicle!","Very pleased with this vehicle. Everything about it is absolutely great! I'm looking forward to 4 wheel drive, especially with recent weather. Overall very satisfied!!!"
"03 14, 2017",Amazing vehicle,Not one single complaint! I am beyond happy about my vehicle and can't wait to continue driving it for years to come!
"03 14, 2017",Loving my car,Was very happy with the comfort and ease if driving this car. And thank goodness for the all wheel drive during this march snow
"03 13, 2017",Most impressive SUV I have had the pleasure of dri,The RAV4 surpassed the expectations I had for this small SUV. I was expecting something good and was really impressed with what I received.
"03 12, 2017",Rav 4 -- the second one we've owned.,"Very nice car. Good gas mileage.  This is our second Rav 4. Traded in a 2013 for the Platinum series .  It has many of the same features you would find on the Highlander, but is a bit smaller with better gas mileage. The foot sweep to open the rear hatch is great. And the heated steering wheel is a welcomed feature living in Wisconsin. Could have a little smoother ride, but overall great."
"03 12, 2017",Platinum Trim Level Rocks!,"Well, we have one reasonably long trip and 1000 miles on it, and thought it was time to provide at least the initial impressions.  Let me begin by saying I'm a little disappointed in the gas mileage (approx. 27mpg on the trip and about 22mpg locally) but that from a perspective of a Prius owner that is used to getting 50+mpg, so temper that.  To go along with that, the engine is just a little anemic; I wish there had been a larger 4 cyl or a small 6 cyl engine.  The seats are firm (and we both love the Sof-Tex in lieu of leather), providing what both my wife and I feel is excellent support, and the car is relatively firmly sprung, at least by the standards of a Prius.  It felt truly excellent on the 500+ mile trip.  There are amenities galore and safety features that I have just begun to explore.  I will write a follow-up review further down the road when I have more miles on it and more understanding of what everything does.  So far, it is an excellent, comfortable automobile, and we both have fallen in love with its ride and its comfort.  I must say, having never had one, the heated steering wheel rocks!"
"03 10, 2017","Reliable, Great safety features","Had a 2014, but the new safety features pushed me into trading for a new one. The adaptive Cruise Control is great and the lane assist."
"03  6, 2017",You Can't Beat the Reliability & Style for the $$,"I come from a high-performance car family (Porsche, Triumph, Jaguars, Vipers, etc) and to me, this is the best looking,  best performing SUV on the market. I've had two Rav4s previously and will never settle for anything else when it comes to buying an SUV."
"03  2, 2017",RAV4 - second one even better than the first,I traded a 2009 Toyota RAV4 in for a 2017 RAV4 and live my new car. Drives so smooth and for a 4 cylinder it had plenty of get up and go.  Very smooth ride even over constructions area rough rodes.  Hope to keep this one for another 125K miles.
"02 27, 2017",Great Car,Perfect vehicle for someone who needs a small SUV loaded up with all the tech and safety features. Gas mileage is great and my dealer experience was superb
"02 22, 2017",paper work,"got a 2017 rav 4 xle and it did not even have compass.over $30,000 and no compass.Had to pay over $300 to get one. How sad is that??"
"01 27, 2017",A very good car I love it.,My sales person Ricardo Tuazon at Rte 440 Hudson Toyota Jersey City NJ.  He's very knowledgeable and  provides good suggestion in getting a new car. I will recommend him to my friends and other relatives.
"01 26, 2017",Best buying experience ever,"The two toned interior leather is amazing looking. Dealer I purchase from is Big Two Toyota. My sales rep was ""Griz"" Griffin. This was my most pleasant purchase of a new car ever. I'm 67. I've purchased 5 new cars. This dealership and honest retail experience was awesome!"
"01  9, 2017",One disappointment,"This is our seconD RAV 4, had a2011 and have a 2014 both new. Biggest probem w have had is the rough ride, they have no suspension for rough roads.  Hit a bump and you feel like you have bottomed out. Need to smooth out the suspension and have a replacement kit to fixit."
"11 29, 2016",Happy Customers,"In April of 2016 we purchase a Toyota Rav4, with the help of salesman Tom Vosnos.  We loved the new Rav4, so when we needed a second car, we went back to Bredemann Toyota and purchase a second Rav4 (2017) with Tom's help.  We are very happy with both vehicles.  Great car, great service."
"11  2, 2016",The RAV4 is a good vehicle.,"A friend and I each bought a RAV4. Overall it is a good vehicle. However, the seats are the most uncomfortable seats I've experienced."
"09  1, 2016",Great car,"Have only had the car for a week, but love the performance when in traffic, comfortable seats, nice design.  Had one in the past and find this one even better."
"07  9, 2017",nicest model yet,"This car is comfortable and easy to drive.  It rides well and has a nice sleek, updated look.  This is the third Rav4 I have owned.  Each one keeps getting better and more sturdy."
"07  8, 2017",Well equiped and great overall package,"Good mileage, comfortable and all safety features easy to use. Found BT linking to apps. confusing ."
"07  8, 2017",Love Toyota!,"Loved the Rav4! We are a Toyota family! I liked the extra safety features and the automatic lift for the hatch back on the limited Rav 4. I also like the Bluetooth, USB and hands free phone features."
"07  6, 2017",Smart Investment,"I love my new Rav 4. The safety features alone and the peace of mind this gives me. I bought this car for my wife and my two 5 year old twins. I feel much better when They are out and about. The design is great. With all the great electronic features this car has. 2 small improvements I would suggest, power seats would be awesome. And when the car is sold update the navigation system before handing off to the buyer. Or include a map update in the sales package."
"07  5, 2017",Loving it!!!!,"I absolutely love it! Roomy, stylish, comfortable,  and great gas mileage.  I love all the safety features and how smooth of a ride it is. Lots of storage space too!!!"
"07  5, 2017",Excellent vehicle,"We have owned Toyota vehicles for many years now and never is a disappointment. This particular vehicle gets very good gas mileage, very smooth ride and if quite comfortable!"
"07  4, 2017",Great car!,I love this SUV.  It has a lot of safety features for a good price.  It rides smoothly and has a lot of leg room.  Great car!
"07  3, 2017",Best value for money with comforts and safety,it meets my all requirements. very good safety features. I like its overall performance. The money i spend is worth
"07  3, 2017",Very comfortable car,It serves my purpose. It is very very comfortable car. This has a value of money. This is the best price i got for this type of car.
"07  3, 2017",Love My NEW CAR,"Great Mid Size Car! My first SUV. Drives  nice and smooth! Nice leg room; great sound system. The radio sounds so clear. Lots of Standard features and in other cars would Cost Extra!
My Daughter wants one now!"
"07  2, 2017","So exceptional, I bought another one!","My RAV4 is exactly what everyone would want in a small SUV. The look is just sporty enough, but provides the ultimate in safety and handling. The size fits me, as I can slide right in and the controls are so accessible. The Rav4's performance and reliability are what gives it the added appeal. When I compared the Rav 4 to other models, it ranked far above the rest. Throughly pleased with my purchase!"
"07  1, 2017",Names say for all.,"Toyota being a leader in manufacturing of great cars. The reliability is unbeaten by anyone in today's market, being said that their car in long run worth every penny you have send on. 

Toyota as I have owned have given me what I want and truly have great models and safety features, as most of the other have started to provide one after they interduced in 2017."
"06 30, 2017",Good vehicle,The car is new with many features. I am glad to know that Mr. Jerry Melton is still selling cars. the car has many features I have not used them all as yet. I drives smooth and good.
"06 29, 2017",I previously owned a Rav 4 used as trade in Love,"Love it, meets all my needs, great gas mileage, very comfortable to drive long distances. I would recommend a Rav 4 to everyone"
"06 28, 2017",I had a 2011 RAV4 before this one and loved it.,"This vehicle is even nicer than the RAV4 I had before.  I love the black currant color and the inside is terrific.  I love the RAV4's so much, I gave the 2011 I had to my grandson who just loves it.  Fran"
"06 27, 2017",Rav it up,"I love my new Rav4 Limited edition. I still find myself looking for places to go so I can ride around in it. I previously owned a Toyota Camry and until the day I sold it ( to a co-worker who knew what a great car it was and what good care it had ) and said good by. Even after I bought an Acura I kept the Camry for awhile, I had a hard time parting with it. I`m already attached to my new Rav4. It rides so nice, seating is very comfy and ample. I love the safety features, I`m all for safety and prevention. It has too many great features to get into.......just take one for a drive and you will see. Toyota makes great products that are reliable, made roomy and comfortable and they have style and class. I am sooo ready for a rode trip with my new Rav4."
"06 26, 2017","Love, love, love my car!","I just love my car.  It is by far one of the most comfortable vehicles I've ever been in.   By far, it is the best car I've ever driven.  Its' seats are extremely comfortable. I really like the design of the dash board.  It just seems to me that everything is in the right place.  The car handless like a dream.  You really should test drive one.  You'll love it!"
"06 24, 2017",my third Rav 4....bulletproof,"Solid, dependable vehicle. A bit underpowered, but has enough power to get the job done. New design is sharp. Attractive inside and out."
"06 24, 2017",Very reliable.,I am very satisfied with my choice. It's my first Toyota and I love it. I know it will serve its purpose.
"06 24, 2017",Great vehicle,"My new Rav 4 is great and very stylish.  I owned another Rav 4 for 11 years and when I traded her in, I knew that I wanted the same make of vehicle."
"06 24, 2017",Our 3rd RAV4! Never buy anything else!!,"We love the RAV4. We just keep buying another. We kept the last one for over 10 years and even then couldn't decide if we should trade for the newer one. There's room for the dogs (German Shepherd, Springer Spaniel) and all the luggage you could ever want to carry. It's never had trouble passing a car or avoiding a problem THEY ARE GREAT!!!"
"06 23, 2017",Nice Road car with saftey features,"The safety features such as BSM and forward radar are great. 

We drove the new car 2000 miles to Disney World and it handled great on the highway.

My wife likes the extra visibility that the car offers."
"06 22, 2017",Awesome car!,"The rav 4 is a great car overall, comfortable, sleek style exterior, interior is functional, plenty of space in the back seats for kids and adults! The trunk has great space capacity. A great family car, would highly recommend it!"
"06 22, 2017",Awesome vehicle,"Comfortable, great pick up for a 4 cylinder.   Style is and out is fantastic.  Very roomy.  Lots of extras that come standard."
"06 21, 2017",Worst SUV,"This is a silk purse made from a pigs skin, in other words appearances are deceiving. Very very very thin sheet metal on the main body, engine knock at 800 miles, gas mileage is distorted..gets about 20 city 24 highway normal driving with I passenger. Not capable or worthy of a maintoned gravel road and I would not recommend ever leaving pavement . Seat material is flimsy, dash parts cheap plastic, carpeting is like paper material....."
"06 21, 2017","Excellent ride, handling and economy","Vehicle fills our needs exactly. Handles great, drives well, parks easily and is comfortable.  Great values for the purchase price."
"06 21, 2017",Knew the minute I sat in the driver seat...,"That this vehicle was for me. This is a fun little SUV with tons of safety features. I've got the Limited and am so happy I jumped up my budget for all the extras. The controls are user-friendly, the drivers seat exceptionally comfortable and the ride surprisingly smooth. Kudos to Toyota for a bold new color as well. Black Currant is just plain pretty."
"06 20, 2017",Like it,"Drove the rav4and really like it liked the color  the leather seats the salesman was great and the people, the salesman explained all teachers. .left jasper with a full tank of gas any happy"
"06 19, 2017",Toyota,"I love my New Rav4! It is so comfortable. The dash is so easy to see everything and reach. Having the back up camera and the peeps, if someone is walking behind is awesome. Also with my arms full of packages to be able to wave my foot under the car and my back door opens. The blind spot monitors are a great help. I can park and push a button and see if my car is parked correctley.Handles great on side roads and the freeway. Has a lot of pick up. Nice smooth ride. Will have my Rav4 for a long time!"
"06 18, 2017",Very dependable and comfortable,"I love the comfort and ease of use, all instruments work smoothly.  Very stylish and due to our winters, I am grateful that all wheel drive comes with this model.  Very nice.  Salesperson Miranda M made the whole experience very quick and comfortable."
"06 18, 2017",Very nice care for you money!,"Toyota as we all know are very reliable.
The new Rav4 is very aggressive-looking and sporty on the inside as well. The four cylinder is very reliable not as powerful as some would hope but it still gets the job done. very roomy inside the rear seats recline just like the front. The JBL sound system is amazing. For the price you can't go wrong with the RAV4 test drive one today."
"06 16, 2017",Most sleek car I own,"The color of exterior and interior is what I really wanted.  Economical and dependable. Good legroom, and I got all the features I wanted for a new car."
"06 15, 2017",No problems at all,"Our previous car was a Toyota Camry that was the most reliable car we have ever owned even after 192,000 miles. But even the Camry had to be taken back to the shop a couple times for the first thousand miles or so to fix some initial problems. The RAV4 has had absolutely no problems at all. It appears to be a highly refined design. It is a pleasure to drive. It is probably the last car we will ever own since I am now 75 years old."
"06 12, 2017",Love my new Toyota - totally reliable,The comfort is excellent - awesome suspension which I know I can count on this vehicle to travel not only for commuting but for visiting out of town.
"06 12, 2017",Safest Car on the Road!,"Previous to my leasing my 2017 Rav4 this past weekend, I drove a 2010 Mazda Tribute.  Having bought my lease out 2 years ago, I have been shopping around for the next vehicle to lease.  I knew I wanted a smaller SUV similar to the size of the Tribute, but was looking for safety, reliability, and backseat legroom.  I currently drive for both of my elderly parents and was concerned about their ability to get in and be comfortable in the backseat and have room for walkers, etc.  I am ULTRA IMPRESSED about the safety rating of the Rav4.  I am way passed wanting to impress anyone with my car, but I can say after just 4 days I LOVE my Rav4.  I actually had the opportunity to drive a Rav4 back in 2008 when my car was stolen and was in the shop for repair after recovery.  I drove the rental for a little more than a month and it was what really sparked my interest in the car.  I actually liked the way the tailgate opened then as it is more user friendly for women, but understand the concept of the tailgate lifting open as well.  Since that time, it was always on my radar if the opportunity presented itself."
"06  7, 2017",Love my new car -,"Love the comfort and convenience of my new RAV 4 and Karl Malone Toyota has been great to work with and take care of me and my questions. Of course, I have only had it for two weeks - hope it keeps performing so great!"
"06  6, 2017","I have always loved the Rav, now it is even better",I love this car. It is just as fancy and stylish as a Lexus without the price. I would choose a Toyota every time. I have owned 3 Rav-4.
"06  5, 2017",Great Car for the money. Good value.,Good size SUV.  Handles great on the road.  Great with getting in and out of traffic and parking. Feels sturdy.
"06  5, 2017",Best of the Non Luxury two row SUV's,"We test drove most of the competitive models. We found the RAV4 the best bang for the buck. We got the XLE with convenience package that includes push button start, power lift gate and nav. Rides nicely for a small SUV and the seats are comfortable. Good leg room in the back. We don't  intend to drag race so the 0-60 will do."
"06  3, 2017",2017 Rav4 LE,"We decided on this vehicle for several reasons . The size is perfect for us even as a primary vehicle. We had owned Toyotas before and knew of their reliability and we looking for a smaller vehicle with better fuel milage than the one we had. Even though the LE model is a base model it is equipped with more features than we were expecting, exactly what we were looking for. After 1200 miles we are averaging 26 mpg city, 31 hwy. and 28 over all. We bought this one off the dealers lot but had we ordered we would have ordered the exact same model. Very pleased !!!!!"
"06  2, 2017",My new car I love it,"Everything I wanted  in my new car Moonroof Power Hatch alloy Wheels  blootooth 
Blind spot warning light Toyota reliability"
"06  2, 2017","The 3rd Rav 4 I've owned dependable,built to last","The Rav 4 has a smooth ride can carry a family of four and a dog comfortably.Gas mileage fair and it sharp lines are classy clean,have owned three Rav 4sand enjoyed driving all of them great purchase."
"06  1, 2017",My first Suv,I love it  and absolutely love it. I've wanted this car for a very long time and finally have it. Very smooth drive and roomy.
"05 31, 2017",Shockingly amazing,"I wanted a car with bigger engine but this size. Left me looking at jeep Cherokee but the bigger engine drove poorly, had a 2012 Tucson and it was sluggish and slow but with a similar size engine this car is great to drive and comfortable. Was looking at Infiniti qx30 also and the RAV4 had more features than the Infiniti."
"05 31, 2017",LOVE THIS CAR!,"Drives great!  I feel safe in this vehicle.  The safety features are awesome, and the ride is very smooth."
"05 31, 2017",Better that I ever had,"For family this is the best deal, economy in gas, very quiet, a lot of safety features in the new Rav4."
"05 31, 2017",happyrav4owner,"LOVE.  LOVE.  LOVE.  Everything about this vehicle.  Size is great, gas mileage is good and has all the bells and whistles I wanted!!!"
"05 31, 2017",This is the second RAV 4 we own.,Gives us us everything we need in a car.  Like how it handles and the service is excellent and we liked it so well this is the second RAV 4 we now own.
"05 31, 2017","So far, I love this car.  I only had it 2 weeks...",So far I love this car.  Only have had it for 2 weeks and still learning all the good about it.    I love the open space inside.  Feels great on the road.  I appreciate the beeps when I cross the white or yellow line.. It's a reminder.
"05 30, 2017",Love it!,Very spacious. Really easy to use for someone that's not good with technology. Would recommend it to anyone!
"05 29, 2017",outstanding vehicle,"meets all our needs.Car has many safety items,gets great gas milage,feels  secure on road and is fun to drive."
"05 29, 2017",Fantastic Car,I bought this car about 3 weeks ago.  I had a Camrey and loved it.  This car is large inside with plenty of room to spread out and take a long trip.  The car is very comfortable to ride and drive.  This car can pick up speed quickly in the sport mode and pass cars with ease. It is easy to drive and drives smoothly.
"05 28, 2017",Perfect cat,Great car. Lots of safety features and rides as good as any high dollar car. You will not be sorry if you buy This car.
"05 28, 2017",Great small SUV.,"The RAV4 we purchased is an XLE. It is stylish as well as functional. The Infotainment system keeps you aware of how your car is performing, as well as entertains you. In Sport Mode, the steering is a bit tighter and the pick-up is a bit quicker, which makes merging onto highways easier. I find I usually drive in the ""normal"" mode, which automatically switches to eco mode as you drive, especially when in traffic. It is a fantastic little SUV which has great cargo space for groceries, as well as hauling the usual stuff a family will take with them. Thankfully, my kids are all grown, but for a family with growing kids, it would be great as you have four doors to access the back seats (which have child safety locks), and the ""trunk"" space is ample for carrying the usual child related items. My husband put all of his metal detecting hardware in the trunk and had space left over to put my stuff. I look forward to having this vehicle for the next 10+ years, as I have no doubt it will last that long, even with my 100 mile per day commute to work. I foresee this being an incredible purchase. Toyota has a great reputation for vehicles lasting a long time. My 2002 Sienna served me well until someone hit it in the rear at 60 mph when traffic stopped. It was hard enough to fold it in half. That was in  2008. It gave me absolutely no problems in 6 years. I will bet this RAV4 will do the same. Great vehicle, great deals right now."
"05 27, 2017",Dependable with a Capital B,The RAV-4 is a quiet ride. I like how it gives the option for the engine to give me the option to either use money saving economy miles or give me power when I need it. The standard feature of blue tooth lets me make or receive phone calls just by pushing a button without taking my hands off the steering wheel. I like being able to sit and have a higher view of the road. It maneuvers easily and is able to take sharp turns in residential areas. I feel like I can go anywhere without having something breaking down and can't wait to take it on a long road trip.
"05 27, 2017",Very confortable,"Right fit for me and my family , great size for the family of 4 , enough space , comfortable, easy to navigate, great value"
"05 27, 2017",Most reliable,This car has more legroom trank has more space my children put their bayke in the trank this car more comfortable for driving
"05 27, 2017",Most reliable,This car is very comfortable for driving . Is has more legroom . The car trank  is big my children put their bayk in the trank
"05 26, 2017",Toyota RAV4,"Love it! Great style, comfort, affordability & reliability. Rides smooth and feels great. I would recommend this vehicle to everyone I know!"
"05 25, 2017",Car which your family loves !!,"Best car for a small family.  It's more spacious ,  great mileage , sophisticated maneuver and  great features like  lane departure warning and many more."
"05 25, 2017",incredible car,i love the car.  it handles great. I love the auto high beam functionality as we as the swerve control
"05 25, 2017",Very stylish and sleek interior.,Wanted a vehicle that was easy to get in and out off.  Plus I wanted to be able to pull a small utility trailer.
"05 24, 2017",My 2nd RAV4,"The vehicle is comfortable, dependable, and the right size.  The seats adjust for shorter people, making it easier to see the road.  It handles well."
"05 24, 2017",Really Cool Multipurpose vehicle.,"The Rav 4 is pretty cool for a SUV, we've fought long & hard against having one, but in the end we had to give in due to needs. The Rav is small, yet big enough to meet the needs we have as a family. It drives like a car, which isn't something you'll experience in most SUV's"
"05 23, 2017",Reliable and safe vehicle,"Love this car, it is large enough for my needs, but not as large as my former vehicle, gets great gas mileage and has lots of safety features which were very important to me."
"05 23, 2017",LE front drive 2017 1 wk review,"All good at 1 week old!  It's a 2.5L 4 which is about the biggest 4 out there for most every mfg. (I've not heard of any larger 4. Different manufacturers offer 2.5s, 2.4s, 2.3s on down.) As you read, keep in mind it IS the lowest base fwd 6 speed automatic model,....... 

First, MPG: On this first full tank from dealer I am ~averaging~ 32.3 mpg  ;>), that's approx 65% city, 35% hwy. There are actually three modes: Sport, 'non' sport/regular mode, and ECO. In Sport it really gets out of its own way and as far as I know, ECO light -  which is right between tach and speedo, never comes on. In regular mode, the ECO light will come on when you're light on the gas pedal; goes off when stepping on it. In ECO mode it finds optimal economy shift points for best mpg. It's the 'least powerful' mode. As a test I wanted to see how high I could get the MPGs -- 45mph road I got it to hit 41.7mpg for a minute, haha.
COMFORT: On my base LE fwd -- I'm 6' 1"", would be great if the front seats slide back one or two more 'clicks' but is really ok. No frills on base model, like no lumbar dial even. but seats are comfortable enough. Back seat are plenty roomy for six footers and the seatbacks recline 60/40, and there's a fold armrest w/ 2 cup holders.
FUNCTIONALITY: Very good - Traded a 2010 Ford Explorer (which in itself is a GREAT truck). Though not as large inside of course, the Rav ~hatch opening~  is about 1"" taller [31""  +/-)  my biggie was wanted to fit a regular plastic trash barrel in, standing up - can do! need to remove cover first then once in, put cover back on, or just tilt it in w/cvr.
STYLE: I think it looks great. Many base SUVs do NOT have STANDARD tinted windows (Subaru, Chevy equinox, others, ask or just look before you buy any car.) RAV4 tint is std. I DO miss the separate hatch ~window~ open from the Explorer... it's hatch only on the RAV but no huge deal. More as I drive ;>)"
"05 22, 2017",Awesome!,"Purchased a new 2017 XLE RAV 4 AWD to replace my old 2012 Toyota RAV base model.  I work in sales--lot of miles covered every day!  The new 2017 RAV is awesome...few more bells and whistles than the base model, nice 6 inch led display along with lane departure, enhanced stereo. Ride is very comfortable, and the XLE feels luxurious for a very nice price.  No more Spare Tire on the back--and the newly designed lift gate is great considering I'm vertically challenged.  Cargo space is nice, and it comes with all weather maps-including the cargo area!  Nicely designed, comfy ride for someone on the road all day!  perfect!"
"05 22, 2017",Love this car!,I love almost everything about my 2017 RAV4 XLE. There are a few things I dislike but it's not anything  that I believe toyota could change right now. For instance. My style for some reason doesn't have side mirror defrosters which I think is weird. And mine doesn't have a CD player but o have sirus XM.
"05 21, 2017",Somewhat disappointed.,"I am somewhat disappointed in the 2017 RAV4 I purchased.  I wish I had rented one before I purchased.  The visibility out the back window is not good with the back seat headrests up.  The cover for the back part of the car does not cover the whole back area.  The rear door is very long and almost hits me when I open it. This also happened to my granddaughter who is very tall.  I wish I had gotten the automatic tailgate lift.  There is not very much storage in the doors for maps, umbrellas, etc., only storage for a water bottle.  The top center of the windshield has a black box which is very distracting when you are driving. The car is very comfortable and drives very smoothly.  Wish I could have driven one for a week before I purchased.  The Bluetooth  is difficult for the person I call to hear me."
"05 20, 2017",Fun family car,"Reliable , nice looking from the exterior. Interior is ok. It is good car for the family with plenty of space for the kids stuff."
"05 20, 2017",Love this vehicle.,This is the vehicle I was looking for. I absolutely love it. We couldn't be more pleased with the performance and look of it.
"05 20, 2017",Love it great for my family,It's just the right size. All wheel drive for when it snows. Love the interior enough room for the car seats and still have room for all our stuff.
"05 19, 2017",Has all the features I wanted,"It is a sharp-looking vehicle and is ""fully-loaded"" with every feature that will make driving the car easy and fun!!  Had my last Toyota for 14 years and never had any problems---looking now for the same service :)"
"05 18, 2017",Love this car.,"This car run so smoothly and I can barely even hear the engine. I would have love the white color though but gray is not so bad either. Just tge right size for me and my family. I love the smart key system and the Bluetooth. Everything about it, I love."
"05 18, 2017",Very Roomy for a Midsize SUV,"So far very happy with the car. I have 3 medium/large dogs, and all 3 sit in the back without having to put the seats down comfortably. Very Roomy, especially for me since I am 6'3''"
"05 18, 2017",Good Size for the $,It runs well and comfortable with lots of space. I traded in a Prius for more space. The interior is sleek
"05 18, 2017",Toyotas no. one,handles well love the new safety features nice looking love driving it would highly recommend this vehicle this is the 8th Toyota in our household very reliable
"05 18, 2017",Rav4 review,This car meets our needs but I really miss my Toyota Camry. We got the Rav 4 for the all wheel drive but it doesn't have the pick up the Camry has.
"05 17, 2017",wonderful smaller SUV,i am sad to sell such a wonderful car. It is new with 320 miles on it. Lives in a garage waiting a new owner.
"05 17, 2017",My last three cars have been Toyota.  dependable.,"So far it is doing great.  The only thing I am not crazy about is no power seats.  I still can work them but would choose power seats next time.  I have taken it from Ohio to North Carolina without any problems.  It's a Toyota, what else is there to say."
"05 17, 2017",The Best I've ever Driven!,"Everything I looked for in a car, my Rav 4 XLE have it. I love this car. And it drives so smoothly. It even have steering assistance and back up camera. And I just had to have a sunroof."
"05 17, 2017",Most reliable car I've owned,"It really meets all my needs. It has enough space in the trunk for storage, enough leg space, and I love the fact that it does not consume a lot of gas."
"05 16, 2017",Nice Road car with saftey features,"The car handled nicely. We used the abundant storage spaces. The lane monitoring is an excellent safety feature.
The speed mode is an excellent feature.

Thanks"
