날짜,리뷰,평점
"Robert L, 08/18/20212017ToyotaRAV4Limited 4dr SUV AWD (2.5L 4cyl 6A)","Great car for in and around the city and for short distances.  Nimble...gets in and out of places really easily.  The lane departure warning, danger warning and emergency situation braking is great.  Negatives: seats are not real leather and are hard, uncomfortable and not ergonomically well-designed resulting in neck and back pain on longer trips or frequent highway travel (limited seat adjustment positions); the cabin space is small and cramped for people 5'8"" (me) or taller; the car is noisy on the highway (poor insulation); the hands-free phone system is mediocre at best; rear-view visibility is poor (fixed on recent models); the car pops out of gear when using the lower gear options and hitting road bumps or depressions; no CarPlay capability (is on more recent models); the hybrid system battery may need to be replaced starting at around 100K miles and may cost around $5000+ to replace.",4 out of 5 stars
"selma, 07/25/20212017ToyotaRAV4LE 4dr SUV (2.5L 4cyl 6A)","Love toyota's (i have 5 presently) all running and dependable. timing belts have always been a red flag to me, but most toyota's use the timing chain now, makes them more dependable than ever. my 2017 rav4 makes a high pitched whine just before changing into a higher gear. ex- 1st to 2nd- 2nd -3rd",4 out of 5 stars
"HanXolo, 06/16/20212017ToyotaRAV4SE 4dr SUV AWD (2.5L 4cyl 6A)","This review is based on my 2017 SE AWD.
Pros:
* consistent and composed road manner
* comfortable front seats
* reliable 
* easy engine access to most DIY
* smooth powertrain and transmission

Cons:
- Lack power.
- Small fuel tank thus limited range is annoying.
- Slow lift gate.",4 out of 5 stars
"John Boy, 09/29/2017updated04/02/20212017ToyotaRAV4XLE 4dr SUV (2.5L 4cyl 6A)","The only reason Toyota gets such high ratings is ""money"". The owners are afraid to complain because it may greatly reduce their bloated resale value. Plus the arrogant Toyota personnel ignore your complaints and deny that anything is wrong ""after all it is a Toyota"". They can take their Toyota and put it where the sun don't shine. Pure media mass manipulation. Specifically; Front vision is not good. hood is not designed well so it is almost impossible to judge distance from an object. Rear visibility is none existent. Getting into the car is a neck breaker, the front widow is at such a tight slope that you have to bend your neck over to almost touch  your shoulder or chest to get your head to fit below the top of the window. It is difficult to find the seat belt it is so flat against the center post and far away that its difficult to grasp it. It is difficult to try to hook up the seat belt because the space between the seat and the accessory is way to tight. Gas mileage is poor.",2 out of 5 stars
"Bob, 09/22/2018updated03/25/20212017ToyotaRAV4XLE 4dr SUV AWD (2.5L 4cyl 6A)","This is ""Just a Car"", offering nothing to make it stand out.  We have owned this 2017 RAV4 for 13 months and have 8000 mi on it now.  Wife would look at nothing else, sorry for that now.  I was hoping we would grow to like it more, not so.  It's OK, but you need to look at competition and compare.  Drives well, has only standard safety stuff, interior is not any more than average.  The longer we have it the less we like it.  Too many ""misses"" on what it offers.  Front seats are just average, carpet is cheep and everything sticks in the nap, visibility is not great out over the hood.  Washed the RAV yesterday and find that the aluminum wheels are not easy to clean.  Access to the spokes is limited.  We have 4 cars with aluminum wheels and RAV wheels are the toughest to clean.  Design team probably thought they looked cool, but did not think of maintenance required to clean.  Front seats have limited adjustments.  Driver seat launches you out if it is raised near its maximum.  Passenger seat is too low, only adjustment is fore/aft.  I want to sell now, wife will put up with it.  Review update, well we traded the 2017 Rav for a 2016 Highlander.  We will never go back!  Ya the Highlander is more expensive but it is a lot more car.  Missing the Driver assist features, but not enough to wish we had the RAV.  May consider to trade up to a 2017-2019 Highlander as it does have the Driver assist.  
Sure feel sorry for all of those people that purchased new RAV's when they could have a used Highlander for the same money.  Worth the difference to give up a few years when buying used.  But there are lots of Low mileage Highlanders out there.",3 out of 5 stars
"CHRISTOPHER Hernandez, 01/29/2019updated02/10/20212017ToyotaRAV4XLE 4dr SUV (2.5L 4cyl 6A)","the car is great, driving around is ok but not that exciting plus i think it should include more usb ports cause there is only one in the front. is a little pricey but is a Toyota!",5 out of 5 stars
"Tara, 01/27/20212017ToyotaRAV4Limited 4dr SUV AWD (2.5L 4cyl 6A)","I bought the Limited model of Rav4 because it gave me many attributes I wanted such as floor mats, heated front seats, tinted windows, leather seats, and an attractive car! The Rav4 is a great size with room to carry plenty of items and is a smooth ride with AWD (All Wheel Drive).  This is the third one I have had and while I looked hard at other used cars I ended up staying with the RAV4 over other vehicles in the same class. It also good clearance from the ground so in snow, it travels well, and it is high enough above the road to be above any truck spray when I pass them in bad weather. It gets reasonable mileage at 23-28 MPG and Toyotas hold their resale value",5 out of 5 stars
"james chaffin, 07/03/2017updated01/19/20212017ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 6A)","Had the car now for 42 months. With Covid, not too many miles driven; up to 29,450 miles. Had my first major “purchase” this week. Had to replace the battery.",5 out of 5 stars
"terryl, 12/28/2017updated12/28/20202017ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 6A)","We've driven several Camrys for the past 20 years and didn't know how quickly we would adjust to the RAV4.  But the transition has been quick and easy.  Our RAV4 moves easily into and out of traffic.  The instrument panel is convenient and easy to read.  The headlights do an amazing job illuminating the streets/highways on both bright and dim.   The ride isn't quite as comfortable as a Camry, but it's close enough that we have been surprised and pleased...our RAV4 is reasonably quiet and comfortable.  We are impressed with the many safety features of of RAV4.  If we had to make a car buying choice again we would definitely buy another RAV4.",5 out of 5 stars
"Papa Craig, 05/20/2017updated12/04/20202017ToyotaRAV4Limited 4dr SUV AWD (2.5L 4cyl 6A)","Great car with lots of options...Limited, AWD, with leather, blue tooth, nagi, memory seats, parking assist, hitch ETC. Lots of good safety items on car...that is what sold us on this...traded in 2008 RAV4 Limited with 72000 which had very little safety items (it was a great car with a V-6, AWD).  Toyota seems to be way ahead of the other auto companies when it comes to safety.  We also like the 4 cyl engine and it isn't much different from the 08 V-6 and it does it much better gas milage.
Car is a great driving machine...steering is outstanding, car corners well and it a pleasure to drive.  Style is beyond great...its cool and up to date. Love the hitch and I pull my trailer with yard stuff in it all the time.  Car is quiet and comfortable. Dec 2020 RAV has about 40,000 and new tires...it is even quieter now. Love the car, lots of power and drives nice. Use the hitch on it for the trailer lots of times...RAV is a wonderful vehicle. I like the body style much more then the plain Jane RAV that 
Toyota went to for 2020.   We plan on keeping our RAV for a least another 75000 miles. Nothing has gone wrong with it, interior, sound system, ETC all work great. On highway we get 30-32 miles per gallon...even using the ""sport"" button. Great car.",5 out of 5 stars
"Pajem15, 11/20/20202017ToyotaRAV4XLE 4dr SUV (2.5L 4cyl 6A)","Smooth, safe and comfortable ride!",5 out of 5 stars
"Henry Stone, 06/25/20202017ToyotaRAV4LE 4dr SUV (2.5L 4cyl 6A)","Beautiful interior, big enough to lay comfortably for things like a drive-in movie theater, or to fit a dye table in the back. Bluetooth is a big attraction and the speakers are mad nice. Automatic brights and the car runs super smooth, besides the blue bird that was already hiding in my car when I got it I couldn’t ask for anything more.",5 out of 5 stars
"Samantha , 06/21/20202017ToyotaRAV4SE 4dr SUV AWD (2.5L 4cyl 6A)","I did a test drive today with the Rav 4 and it handled very well! The console is great, the sun roof is cool, and I had a good ride.",5 out of 5 stars
"Abe, 06/11/2019updated06/12/20202017ToyotaRAV4Platinum 4dr SUV (2.5L 4cyl 6A)",This is a great SUV . Very comfortable ride . The Navigation logic can use a better logic. Its acceleration was better than i expected. The technology for Blind spot and dynamic cruise control is amazing .Makes long distance driving a pleasure since you dont have to break as often .. this technology allows you to keep up with traffic and eliminate stress while also creating a safe driving experience . Several times when someone cut in front of me -- the car just lowered the speed automatically .  There is no overhead light in the trunk part when you open the hatch back which is a problem & the automated lock/unlock buttons are not lit creates problems at night otherwise What an amazing vehicle!!,5 out of 5 stars
"Harry Koller, 03/07/20202017ToyotaRAV4XLE 4dr SUV AWD (2.5L 4cyl 6A)","I live in Australia, and have driven my Rav about 50,000 km. Generally, I like this car and find it reliable and safe to handle with plenty of space and comfort.
My 3 neatives are : 1) The listed fuel consumption of 8L /100 is totally unrealistic (I am told its achieved on a test bed)
2) It is listed as having a 60 litre tank, but the on-board computer only responds to 40 litres. I have been told by a Toyota Manager that when the computer display shows empty and the red light comes on, there are still 20 litres in the tank, (true but unprofessional).
3) The cruise control does not hold the ""set"" speed on slight down hills, but my wife's Mazda 2 changes gears to hold ""set"" speeds.",3 out of 5 stars
"B., 02/07/20202017ToyotaRAV4XLE 4dr SUV (2.5L 4cyl 6A)",Very reliable.,5 out of 5 stars
"Karen Hatami, 11/22/20192017ToyotaRAV4LE 4dr SUV (2.5L 4cyl 6A)","My Rav 4 Is the best car I have ever owned!   It is great in the snow for colorado, never slips, great clearence.  In the summer it goes fast on mountain roads great turning radius and safe!  Lots of room but still easy to parrell park , especially with the back up camera.",5 out of 5 stars
"2017 RAV4, 10/31/20192017ToyotaRAV4XLE 4dr SUV (2.5L 4cyl 6A)","Everything you could want in a mid-sized SUV.  I bought the car new to take advantage of all the latest safety features that my 2004 didn't have.  But, after 2 years, I found it painful to get in/out of this car because of my poor right-side knee and hip joints .  So, I traded in the 2017 RAV4 for a 2013 Lexus RX 450h that has more head and leg room up front; getting in/out.of the Lexus is MUCH easier and not painful at all for me --- and I still have all of the most important safety features that the RAV4 has.  Plus, my monthly payments are LOWER now than with the 2017 RAV4.",5 out of 5 stars
"Timothy H. Waite, 10/03/2018updated10/03/20192017ToyotaRAV4LE 4dr SUV (2.5L 4cyl 6A)","This vehicle has been great in every area thus far. We have owned it 1 year and have driven it 12,000 miles. Gas mileage ranges between 28 and 31 mpg. The only complaint we have had is that the 17"" Continental tires that came with the vehicle beside being very poor quality are unsafe. The sidewall blew out on the right front while we were on the highway. Praise the Lord we did not have an accident . I went on line and checked Continental tire complaints and found out that we were one of many that have had the same experience. We had to purchase 4 new tires at 12,000 miles as the tread was also fairly low and yes the tire pressure had been checked on a regular basis and they were rotated as they should be. If Toyota wants to keep its good name they need to not worry so much about the bottom line and put quality tires on their vehicle to match the quality of their product. Toyota is not afraid to put a hefty price on their vehicles because they tout their quality, that should extend to tires also. Auto manufactures want top dollar and yet they put the cheapest tires they can find on their products. What is wrong with this picture?",5 out of 5 stars
"Will Rub, 09/22/20192017ToyotaRAV4LE 4dr SUV (2.5L 4cyl 6A)","I got a Toyota RAV4 at Findlay Toyota in Henderson, NV for my wife, 2 years ago. When the car had 12K miles it got a weird sound when she pushed the brakes. The service department said it was just dirt in the brake pads and that it would disappear with time. At 14K miles the sound remained, and the service department insisted it was dirt. At 19K miles the sound still was there and the service department said that was a problem with those cars, but the new ones didn't have the problem and that we have to replace the brakes at our own cost. This is unbelievable, they knew the car had that problem, but they just transfer the solution to the customer. We have to pay for their mistakes.
I called Toyota and spoke with a service manager and she just said there was nothing they could do and that if I was not satisfied I could write a bad review, which means they don't care, they just want your money and once they get it you are not their customer anymore.
30 years ago I lived in Colombia, South America, and I got a Toyota Hilux. The car also had problems with the brake system; when I had to stop real fast, the car started spinning (it made about two 360 degrees circles at 65 miles per hour). The story was the same, the customer service department said they didn't know anything about that problem and that I had to pay to solve it. Three years later that car got a recall due to that problem, and the solution  was to replace all the hydraulic hoses for bigger ones, but I already had done that out of my pocket. 
It seems to me Toyota still needs to learn how to do brake and needs more training for the service department. I would never buy a Toyota anymore.",2 out of 5 stars
"ChillyWill , 08/11/20192017ToyotaRAV4LE 4dr SUV (2.5L 4cyl 6A)","Bought our 2017 Rav4 LE new from the dealership right when it came to the lot now at 33k miles were starting to have transmission problems hard shift and sometimes want shift till 6k rpm also our braking system failed, worst purchase I ever made. It was nice at first seats are somewhat comfortable but dust and dirt collect very easy on it. radio needs some work headlights are horrible somewhat good on gas. Paint on em seems cheap after 6months of it we started to get chips in the paint.  I stay away from Toyota build quality has dropped drastically...",1 out of 5 stars
"Not Happy , 05/09/20192017ToyotaRAV4XLE 4dr SUV AWD (2.5L 4cyl 6A)",2017 Rav 4 XLE AWD. Purchased new.  At 20000 mi the rotors had to be replaced due to a defect and at 23000 mi the AC motor blower went bad. Drivers side door lock quit working at the same time. Gas mileage not great. Last Toyota will buy....cant wait for the next thing to go wrong...,3 out of 5 stars
"Dennis, 04/09/20192017ToyotaRAV4Limited 4dr SUV AWD (2.5L 4cyl 6A)",Get to know the vehicle and it's amenities.,5 out of 5 stars
"Michael Reese, 09/10/2017updated03/11/20192017ToyotaRAV4Limited 4dr SUV AWD (2.5L 4cyl 6A)",I like it.Performance5 out of 5 starsInterior5 out of 5 starsComfort5 out of 5 starsValue5 out of 5 stars,5 out of 5 stars
"jat, 03/05/20192017ToyotaRAV4XLE 4dr SUV (2.5L 4cyl 6A)","Had a 2014 RAV4 which was great.  Was totaled, so bought a 2017 RAV4.  2017 RAV4 had some changes, like you had to download ""SCOUT"" navigation; the 2014 RAV4 had a great preload navigation system.  Did not care for the new navigation of SCOUT.     Bottom line I still like the RAV4.",5 out of 5 stars
"pdw, 08/31/2018updated03/05/20192017ToyotaRAV4SE 4dr SUV AWD (2.5L 4cyl 6A)","Great car but this model requires the use of Toyota's @#$@! scout gps link navigation system. google maps works much better and is easier. I was driving a Nissian Frontier PU with 4 wheel drive (I live in Buffalo, NY) changing to the Rav4 didn't affect my winters. It goes in the snow. I truly enjoy the Rav4's comfort and steering. I feel comfortable on highways and on city streets. It can also cart around an impressive amount with the seats folded down. the rear reclining seats are much appreciated.",5 out of 5 stars
"BILL H 444, 11/06/20182017ToyotaRAV4XLE 4dr SUV (2.5L 4cyl 6A)","My wife was looking for an suv and we tried literally every suv in our price range and she picked the Toyota Rav4. The determining factor for her was the comfort and support of the drivers seat and the visability for the driver as she is height challenged. After trying most of the other makes of suv she fell in love with the looks and style of the Rav4. She loves the way it handles on the road and all of the safety features like the blindspot monitor, warning when you change lanes without signaling or drift out of your lane, and the feature that warns you when vehicles in front of you are getting to close. So far she has not seen any thing she does't like in the car and with Toyota's legendary dependablity we should have this vehicle for many years..",5 out of 5 stars
"Richard, 10/18/20182017ToyotaRAV4XLE 4dr SUV (2.5L 4cyl 6A)",This car is a super car for the money and is very dependable.,5 out of 5 stars
"Rip, 10/17/20182017ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 6A)","Great style, safety features, cargo volume, and good miles per gallon on trips.",5 out of 5 stars
"Mike, 03/26/2018updated09/26/20182017ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 6A)","Not sure if it is the Bridgestone tires or just the lack of good quality insulation but at highway speeds you can really hear the road. Otherwise in the 6 months of ownership I feel it is a great little SUV. You read the Car Magazines knocking the power but I find this 2.5 4 Cyl does a nice job of acceleration from a stop or getting on the highway.  My prior vehicle was a 3.0 ltr. Honda and it was a rocket ship but I am impressed with acceleration on this 2017 RAV4 Limited. 
I would and have recommended this vehicle as one to purchase.",4 out of 5 stars
"Nancy Hollwedel, 09/05/20182017ToyotaRAV4LE 4dr SUV AWD (2.5L 4cyl 6A)",The seats are terrible. CheapPerformance3 out of 5 starsInterior3 out of 5 starsComfort1 out of 5 starsValue1 out of 5 stars,3 out of 5 stars
"kim ewell, 07/27/2017updated08/09/20182017ToyotaRAV4XLE 4dr SUV (2.5L 4cyl 6A)",make sure you truely test drive stop and go turn curves also ask for floor mats to keep any car clean you have to have floor mats at no extra charge,5 out of 5 stars
"KMag, 08/05/20182017ToyotaRAV4Limited 4dr SUV AWD (2.5L 4cyl 6A)","The driver's seat is unbearably uncomfortable on long rides. No real armrests that fit a normal person's body if the seat is in the right position. End up with severe back, neck, and shoulder pain after 2 hours which makes me dread longer drives. Had a Highlander before it become an SUV mini-van and loved the seats, the ride, the power, etc. I can't turn off many of the tech features such as beeping every time I go over a line, neither could the service department. It plays music from my IPhone even when I have the audio off so that sometimes the music is playing when on a call and I can't hear the person. MPH is good, engine is okay but not great at acceleration to pass. I miss my Highlander, wish they would bring the old model back, V6, great storage, roomy and comfy.",3 out of 5 stars
"Lynn A., 01/12/2017updated07/17/20182017ToyotaRAV4Platinum 4dr SUV AWD (2.5L 4cyl 6A)","RAV4 is well rated SUV.  RAV4 Platinum is well-equipment SUV and fun to drive.  I recommend that you purchase carpeted car mat package or all weather mat package which is one of the only package add ons that are offered since so much is standard.  I also recommend the cargo net since it helps from items falling out of rear when lift gate is opened.  The cargo cover is also a great option and it is retractable cover that is easy to use.
Two year free service comes with vehicle.  Dealership does free oil changes once a year or every 10,000 whichever comes first.  They also do free tire rotation every six months which is suggested for AWD vehicles.",5 out of 5 stars
"John, 07/01/20182017ToyotaRAV4Limited 4dr SUV AWD (2.5L 4cyl 6A)",Toyota is a good car,5 out of 5 stars
"Bob, 06/25/20182017ToyotaRAV4XLE 4dr SUV AWD (2.5L 4cyl 6A)","Front seats are just average.  Height adjustment launches you out of the seat as it tips forward while moving up.  Interesting Toyota wants the driver seat comfortable but not the passenger.  The new 4cyl motor is just fine for all driving.  We have 5000 mi on now and drivability is fine.  We replaced our 2003 Highlander with this RAV.  The 2003 is still a better car overall than the 2017, only lacking the new safety stuff.  The size of the RAV is actually minutely larger than the 2003 Highlander.  Should have looked at some of the competing mfg's.",4 out of 5 stars
"Karen Boyd, 12/08/2016updated06/18/20182017ToyotaRAV4XLE 4dr SUV AWD (2.5L 4cyl 6A)","I have purchased Toyota products exclusively for 26 years. Things have declined - material, fuel consumption. The cabin noise is terrible.  It appears the doors really don't fit well. The passenger side front gets dirty - like I left it open! Wish I'd bought something other than Toyota.

I am leaving my Toyota loyalty behind. Looking at buying a Ford.",2 out of 5 stars
"Bill H., 06/16/20182017ToyotaRAV4SE 4dr SUV (2.5L 4cyl 6A)","Rav 4s only weaknesses are 1. Lane departure signal volume not loud enough. Navigation system is dated. 3. No Rear seat air venting. Lastly, when leasing it doesn’t hold its value.",4 out of 5 stars
"Anne, 11/17/2017updated06/04/20182017ToyotaRAV4LE 4dr SUV AWD (2.5L 4cyl 6A)","This car provides a great ride. One of my only complaints is I wish they had included a digital read out of the speed. There are so many screens options that I don't know why that isn't one of them. The MPG is a bit lower than I wanted, but it drives great and I love driving it.",5 out of 5 stars
"CUA ATL, 05/24/2017updated05/29/20182017ToyotaRAV4LE 4dr SUV (2.5L 4cyl 6A)","RAV4 is a great ride.  Latest safety equipment, handles great and the ride is luxurious!  First time Toyota buyer-fantastic warranty and dealer support.  Edmunds  made purchase simple-bought the vehicle  day after Price Quote email received.",5 out of 5 stars
"john, 11/24/2017updated05/25/20182017ToyotaRAV4XLE 4dr SUV (2.5L 4cyl 6A)","After 10 months still feel great about my rav4 excellent all round vehicle. we shopped 4 brands of suv, honda toyota, mazda, subaru narrowed it down to toyotha and subaru due to fun to drive, all round comfort and value. close second was subaru, followed by honda, was not impressed with mazda due to visibility which was excellent on the toyota and subaru which were both a pleasure to drive in town and on the highway.",5 out of 5 stars
"Marie O, 05/24/20182017ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 6A)","The only thing I can say  negatively about my RAV4 is the gas mileage. I had been driving a Prius C where I was getting about 40mpg to the RAV4 and get 28 mpg. Going from a hybrid back to a regular car is a shock. However, I love being higher up off the road and the RAV4 is a pleasure to drive. The only maintenance I have to do are oil changes and tire rotation. Very happy with it.",5 out of 5 stars
"Mike Dallmeier, 03/23/2017updated03/27/20182017ToyotaRAV4SE 4dr SUV AWD (2.5L 4cyl 6A)","First let me say I owned a 2013 Ford Escape SEL before buying this vehicle.  That being said, my Escape had more options on it for the price point.  I have never owned a Toyota before and I found the appearance of the RAV4 inviting.  The 2017 RAV4's only offer a 4 cylinder engine, the 2016's offered a 6 cylinder.  The SE comes with the ECO/Sport modes.  ECO I'm getting about 29mpg, Sport mode close to the same, although engine is more peppy in sport mode.  There is plenty of power for merging onto highways and for passing in my opinion.  Interior is quiet and road/engine noise into the cabin is minimal.  The SE's suspension is more stiff, a little more rough than I'd like but ok.  Almost no vehicle lean going around corners, electric steering feels fine also.  Stereo is great!  Cabin speakers more than adequate, better than my Escape's.  The seats are not as comfortable as I would have expected, a bit disappointing!  The headlights and tail lights have the LED trim which looks very nice.  Great visibility at night with just low beams on!  Back seat is spacious, cargo area fine.  The only thing I wish I had is memory button for drivers seat and a power passenger seat.  Other than that it's a nice vehicle, but I only have a little over 550 miles on it so far.

I've had my Rav4 now for 13 months....accumulating 32K miles on it so far.  Here is what I think now about it.  The front cup holders are in terrible locations, I've spilled drinks due to this, very irritating!  The seats , front and back, could use more padding, not comfortable on long drives.  Big problems are night driving, not all buttons are lit!  You better know where they are in the dark!  The dash lights only go so bright, not enough for me...and it appears not for others reviewing this vehicle either.  The steering wheel needs to tilt more and telescope further out. Those are the negatives!  The gas mileage is great for an AWD, I average 27 in the Winter and 29 in the Summer.  Legroom/headroom is very good, I'm 6'-4"" and 260 lbs. and I have no issues.  Cargo space is good also.  It handles very driving in the snow also.  The safety features saved me several times from accidents, and I consider myself an attentive driver.  The LED taillights and bright white headlamps look great, fantastic visibility when driving at night",4 out of 5 stars
"K, 09/24/2017updated03/26/20182017ToyotaRAV4XLE 4dr SUV AWD (2.5L 4cyl 6A)",I wish they had a speedometer when going 45 miles per hour I could see the 45 digitally as a number. I had it on my last 2014 Chevy Equinox and now on my 2017 Chevy Colorado. My 2013 Chevy Corvette even had heads up display. Was it a mistake for Toyota not to include it on the 2017 RAV4 XLE. OTHERWISE a ok vehicle. by the way I sell Chevrolet and Nissan vehicle for a living.,2 out of 5 stars
"Brittany, 03/15/20182017ToyotaRAV4LE 4dr SUV AWD (2.5L 4cyl 6A)","This was my first car purchase. Had problems with e-brake as soon as I purchased, took to the dealership THREE times before they agreed to fix it. They told me I didn't know how to engage an e-brake. Very condescending and rude. There was a moldy musty smell in the cabin of the car every time it rained. After months passenger floor was completely soaked through from below. The car continued to develop mold and water, but the dealership denied there was water at all. After 5 months of being told the car was fine, the mold became unbearable and I became sick from driving in it daily. It was finally taken in and the dealership tried to find the cause of the water coming in that was flooding out below the passenger seat and footwell. After 1 month of trying to find the solution they gave up, eradicated the mold and put it back together. After being told by Toyota to go get a lawyer, I did just that and filed a lemon law complaint. The company is now buying  back the car but the process has been horrific. If you are buying a white 2017 Toyota RAV4 used in Southwestern area of PA it could be my lemon that they put back together. You have been warned.",2 out of 5 stars
"Sharon Grace, Friday Harbor, 02/20/20182017ToyotaRAV4XLE 4dr SUV AWD (2.5L 4cyl 6A)","Be forewarned!  Test drive this car at night before you buy.  This car is extremely dangerous if you live or drive on unlit narrow, curvy, hilly rural roads at night.   In designing this car's headlights, Toyota has put form over function.  It has packed the RAV4 with all kinds of safety features, including numerous airbags.  You will need them, since you cannot safely see to drive at night.   The IIHS rates the headlights as ""marginal,"" and states that on curves the high beams are inadequate in all 4 tests conducted.  At night with the headlights on, the lack of illumination is dangerous.  The top half of the windshield appears dark as if it has black frost on it.  You can see through only the lower half of the windshield, which has limited visibility through which you can see straight ahead, but have little peripheral visibility. Going down hills cuts the visibility considerably, at times to as little as 50 feet.  Sharp turns to the left or right are blind.  Toyota refuses to fix the problem, since the headlights are ""working as designed.""  Great--a design defect.  Wish we had known.  We have had 3 Toyotas previously, which we loved.  We love this one during the day.  Too bad we can't drive it safely at night.",1 out of 5 stars
"Kelli, 01/23/20182017ToyotaRAV4LE 4dr SUV (2.5L 4cyl 6A)",Great experience with Edmunds,5 out of 5 stars
"Brian Montano, 01/11/2017updated01/18/20182017ToyotaRAV4XLE 4dr SUV (2.5L 4cyl 6A)","If you are in the market for a small SUV it will be worth your time to seriously consider the Toyota RAV4.   The RAV4 has made astonishing improvements to the RAV4 since the early 2000s when my brother-in-law owned one.   Stylish, modern, high tech and smooth ride.   The 2.4 liter 4 cylinder engine mated to a 6 speed  transmission provides good performance.  It's good on fuel and with Toyota offering 0% APR for 60 months what a deal.   It was too good to pass up.  This is my fourth Toyota and Toyota has consistently proved to be reliable vehicles.

I have driven my 2017 Toyota RAV4 XLE FWD for a little over  a year now and I  have to say overall I am 
extremely pleased with this compact-crossover SUV. It rides quite and smooth with good acceleration.  
The instument panel is layed out well. There is ample room to seat five persons comfortably. My fuel bill is 
reduced almost in half compared to my previous Toyota (4Runner). The new features I like are the backup camera,
bluetooth, LDA (lane detection alert) and push button to open and close the liftgate. The bluetooth is a 
magnificent invention. With the bluetooth I am to connect my iPhone and listen my favorite tunes and use the
phone to make or receive phone calls basically hands free. My RAV4 is a joy to drive.",5 out of 5 stars
"Chuck, 01/17/20182017ToyotaRAV4Platinum 4dr SUV AWD (2.5L 4cyl 6A)","JBL system speakers sounds like an AM box...terrible sound no Base!Terrible sound system if indeed it's JBL. The heated steering wheel only heats in some spots, Gps freezes on the freeways , can't change the color on the Gps black is what you get at night teibble system ,Gps does not show your speed, this car has no digital speedometer and the notches are too small to read ,car is a gas hog for being a 4 cylinder I've never gotten 300 miles on a tank.Switchs for heated seats stay on including the steering wheel switch when you turn back on the car...non electronic switch only mechanical switches...but blue paint is pretty...switches are poorly located.",2 out of 5 stars
"Diane, 07/10/2017updated01/12/20182017ToyotaRAV4SE 4dr SUV (2.5L 4cyl 6A)","Both the driver's and passenger's seats kill our backs! I'm seriously considering selling it after only having for 2 months!!! If I can't find an after market solution ie new seats (I've already tried 2"" thick memory foam seat cushions for both seats-which don't help at all), I will be selling. I don't care that I'll lose money. I won't be able to live with the hip and back hurting as badly as they do!
I did sell the Rav4.  It was the MOST UNCOMFORTABLE car I have ever ridden in.  I couldn't wait to get rid of it! I hated losing money, but what option did I have?
Also, the mileage wasn't as good as the reports said it should've been.",4 out of 5 stars
"Sandi, 01/05/20182017ToyotaRAV4XLE 4dr SUV AWD (2.5L 4cyl 6A)",Number I read on. It's sharp looking great handling very dependable comfortable great on gas sporty and plenty of room. I have the 2013 in black and I love it as much today as I did when I purchased. I would buy another in a heartbeatPerformance5 out of 5 starsInterior5 out of 5 starsComfort5 out of 5 stars,5 out of 5 stars
"Love my Rav 4, 12/30/20172017ToyotaRAV4LE 4dr SUV (2.5L 4cyl 6A)",Bought my LE Rav 4 in Aug 2017. Car now has 5600 miles and as expected I haven't had any problems. I love the car but driving it on Eco mode it just has no pick up power at all. I keep the eco turned off. Sports mode is great but horrible on gas. Space inside is great. I am 6ft 1 and have no problem with space. Back seats are also very roomy. Over all the car runs and looks great. Only wish it would have a little more power when you first accelerate.,4 out of 5 stars
"vicky, 12/20/20172017ToyotaRAV4Limited 4dr SUV AWD (2.5L 4cyl 6A)","Over all very happy with the vehicle. Cant comment on reliability or overall value since we haven't owned it long enough. But based on our last Toyota i would give it 4 to 5 stars if it does as well. I think a 6 cyl option would have been nice to have available. Storage and cubbys are few, but it is a compact suv.",4 out of 5 stars
"wife suv, 12/20/20172017ToyotaRAV4Platinum 4dr SUV AWD (2.5L 4cyl 6A)",The colors and type of wheels and interior colors were a little run of the mill or tacky. It is a shame because the quality of the suv as a whole is good.,3 out of 5 stars
"Elliot, 11/16/20172017ToyotaRAV4Limited 4dr SUV AWD (2.5L 4cyl 6A)","We had a 2015 RAV 4 and traded it in  for a 2017 model. The new one rides much quieter and handles a little better.However, as with the 2015, the voice recognition system is poor. It cuts off in the middle of instructions and rarely gets a destination correct on the first try.  I'm taking it into the dealer tomorrow. I'm hoping they don't tell me that can't duplicate  the issue as they did a couple of times with the 2015. When you lease a $34,000 vehicle you expect everything to work.Performance4 out of 5 starsValue4 out of 5 stars",4 out of 5 stars
"New Toyota Fan, 11/01/20172017ToyotaRAV4LE 4dr SUV (2.5L 4cyl 6A)","I emigrated to the US in 2016, with no credit footprint Toyota were the only ones that helped, previously In Europe I had owned multiple BMW's + 1 x Mercedes, the RAV 4 has proved more reliable than all of these, does not chew types, easy service Intervals, have travelled up and down the coast in all weathers and its safe, solid, reliable, fuel economy was a shock coming from German marques but they were all diesel and turning up at a gas station is like going to the sale of the car given the price difference, but that horse has bolted from that stable with bans and penalties in all Euro Markets, it's not the fastest, but a great comfortable Freeway cruiser. I test drove a Hyundai as they are well regarded in the UK, poor in comparison. I would Trade up across the Toyota/Lexus Range, and its bye bye German Cars, storage space is significantly better but I was trading up from a series of Station Wagons, In Car Tech could do with a refresh. I know many people in the UK who have bought land rover (Evoque/Discovery (New Model), many have faced eye watering bills to run, and its no surprise that the evoque is a rare sight here...",4 out of 5 stars
